"V1","V2"
"1",3.20603799819946,1.14341807365417
"2",4.00144910812378,2.64799094200134
"3",4.63983702659607,3.41929507255554
"4",5.13273978233337,4.63327503204346
"5",5.83814716339111,5.48229289054871
"6",6.56547594070435,6.82479882240295
"7",7.16480016708374,7.5995409488678
"8",7.75313901901245,8.84274196624756
"9",8.83406209945679,10.3229711055756
"10",8.75204682350159,11.5183811187744
"11",9.31744885444641,12.4847841262817
"12",9.97014403343201,13.7785551548004
"13",10.4048418998718,15.3132989406586
"14",11.2063310146332,20.0855870246887
"15",16.7881419658661,19.8710770606995
"16",14.8806600570679,21.2116000652313
"17",12.8975758552551,21.4518420696259
"18",13.3633108139038,21.4733090400696
"19",13.9818339347839,23.2142181396484
"20",14.5986070632935,24.8661799430847
"21",19.4504599571228,31.5382220745087
"22",17.0914521217346,34.6337270736694
"23",17.3393490314484,32.7707960605621
"24",19.4345238208771,33.2572119235992
"25",20.6853020191193,40.6760129928589
"26",19.715968132019,32.720584154129
"27",19.0738568305969,33.9155189990997
"28",19.9654412269592,35.7169749736786
"29",21.2141170501709,37.2493188381195
"30",21.0543100833893,37.9094340801239
"31",23.6064720153809,42.8781249523163
"32",23.2138788700104,44.2643179893494
"33",24.1232190132141,51.972827911377
"34",26.4646790027618,55.4001469612122
"35",29.698016166687,54.2574069499969
"36",26.498183965683,58.9284040927887
"37",28.2889020442963,57.9667608737946
"38",28.0557110309601,57.9490489959717
"39",30.5354268550873,59.6802990436554
"40",31.3230731487274,1.03914683659871
"41",30.820524930954,1.07375553448995
"42",30.2515449523926,1.13833475112915
"43",33.2006759643555,1.1489953160286
"44",34.8187329769135,1.15901646614075
"45",35.1875631809235,1.20745644966761
"46",53.8655619621277,1.41107864777247
"47",42.5040481090546,1.28699236710866
"48",38.0360479354858,1.24134208361308
"49",39.5346519947052,1.2332440495491
"50",40.5351910591125,1.41934176683426
